Level	Amount	Paid	Business	Abbrev	website
Tournament	$200.00 	Yes	Alber Hearing Services	alber	http://alberhearing.com/
Tournament	$200.00 	Yes	All States Materials Group	asmg	http://asmg.com/
Tournament	$200.00 	Yes	DeMaio Orthodontics	demaio	http://demaioorthodontics.com/
Tournament	$250.00 	Yes	Gentle Dentistry	gentle	http://www.deerfieldgentledentistry.com/
Tournament	$150.00 	No	Justine Rosewarne - 5 College Realtors	rosewarne	http://5collegerealtors.com/detail_agent.asp?agentid=E0000JJR&site=office&searchtype=ByOffice&office_id=AN1019
Tournament	$200.00 	Yes	New England Greenscape	neg	http://newenglandgreenscape.com/
Tournament	$200.00 	Yes	Northampton Pediatric Dentistry	demaio	https://www.npdma.com/
Tournament	$200.00 	Yes	Polish American Citizens Club	pacc	https://www.facebook.com/pages/South-Deerfield-Polish-American-Club/148452691860926
Tournament	$150.00 	Yes	Sackrey Construction Company	sackrey	http://sackreyconstruction.com/
Tournament	$200.00 	Yes	Sunderland Men's Club	smc	#
Trophy	$100.00 	Yes	Delta Sand and Gravel	delta	http://www.delta-sand.com/
Trophy	$100.00 	No	Greenfield Savings Bank	gsb	https://www.greenfieldsavings.com/
Trophy	$100.00 	Yes	Kieras Oil, Inc.	kieras	http://kierasoil.com/
Trophy	$100.00 	No	Michael Johnson Masonry	mjm	#
Trophy	$100.00 	Yes	One Way Screen Printing	oneway	http://onewayscreenprinting.com/
Trophy	$100.00 	No	Planet Fitness - Greenfield	planetfitness	https://www.planetfitness.com/gyms/greenfield-ma
Trophy	$100.00 	Yes	Roy's Service Station	roys	#
Trophy	$100.00 	No	Snow & Sons	snows	https://snowandsons.com/
Trophy	$100.00 	Yes	Sunderland Corner Store	scs	http://www.sunderlandcornerstore.com/sunderland-corner-store
Trophy	$100.00 	Yes	Sunderland Volunteer Firemen's Association	svfa	http://www.sunderlandfire.com/index.html
Trophy	$100.00 	Yes	Webber & Grinnell	webber	http://www.webberandgrinnell.com/
Trophy	$100.00 	Yes	Yankee Candle	yankee	https://www.yankeecandle.com/village
Trophy	$100.00 	Yes	Zinn-Keane Family	zinn	#
Gold	$50.00 	Yes	Aegis Physical Therapy	aegis	http://www.aegisphysicaltherapy.com/?page=home
Gold	$50.00 	Yes	Ahearn's Landscaping	ahearns	https://www.facebook.com/pages/Ahearns-Landscaping/167375980121382
Gold	$50.00 	No	Berkshire Design Group	bdg	http://www.berkshiredesign.com/
Gold	$50.00 	Yes	Billy's Beverages	billys	#
Gold	$50.00 	Yes	Boisselle, Morton & Wolkowicz	bmw	https://www.bma-cpas.com/home
Gold	$50.00 	No	Bub's B-B-Q	bubs	http://www.bubsbbq.com/
Gold	$50.00 	Yes	Cowls Building Supply	cowls	http://cowlsbuildingsupply.com/
Gold	$50.00 	Yes	Frontier Pizza	frontier	http://www.frontierpizza.com/pizza.htm
Gold	$50.00 	Yes	Greenfield Cooperative Bank	gcb	https://www.greenfieldcoopbank.com/
Gold	$50.00 	No	Grybko's Garage	grybkos	https://www.facebook.com/pages/Grybkos-Garage/138998246470517
Gold	$50.00 	Yes	Jenks Repair Service	jenks	https://www.facebook.com/Jenks-Repair-Service-134609229925373/
Gold	$50.00 	Yes	L & L Fence Company	landl	https://www.landlfence.net/
Gold	$50.00 	Yes	Millstone Market	millstone	https://www.facebook.com/millstonefarmmarket/
Gold	$50.00 	Yes	Osterman Propane	osterman	http://www.ostermangas.com/
