Level	Amount	Paid	Business	Abbrev	website
Tournament	$200.00 	Yes	Alber Hearing Services	alber	http://alberhearing.com/
Tournament	$200.00 	Yes	All States Materials Group	asmg	http://asmg.com/
Tournament	$200.00 	Yes	DeMaio Orthodontics	demaio	http://demaioorthodontics.com/
Tournament	$250.00 	Yes	Gentle Dentistry	gentle	http://www.deerfieldgentledentistry.com/
Tournament	$200.00 	Yes	New England Greenscape	neg	http://newenglandgreenscape.com/
Tournament	$200.00 	Yes	Northampton Pediatric Dentistry	demaio	https://www.npdma.com/
Tournament	$200.00 	Yes	Polish American Citizens Club	pacc	https://www.facebook.com/pages/South-Deerfield-Polish-American-Club/148452691860926
Tournament	$150.00 	Yes	Sackrey Construction Company	sackrey	http://sackreyconstruction.com/
Tournament	$200.00 	Yes	Sunderland Men's Club	smc	#
Trophy	$100.00 	Yes	Applebee's	applebees	https://www.applebees.com/en/restaurants-hadley-ma/100-westgate-center-dr-81049
Trophy	$100.00 	Yes	Delta Sand and Gravel	delta	http://www.delta-sand.com/
Trophy	$100.00 	No	Greenfield Savings Bank	gsb	https://www.greenfieldsavings.com/
Trophy	$100.00 	Yes	Kieras Oil, Inc.	kieras	http://kierasoil.com/
Trophy	$100.00 	No	Michael Johnson Masonry	mjm	#
Trophy	$100.00 	Yes	One Way Screen Printing	oneway	http://onewayscreenprinting.com/
Trophy	$150.00 	Yes	Osterman Propane	osterman	http://www.ostermangas.com/
Trophy	$100.00 	Yes	Roy's Service Station	roys	#
Trophy	$100.00 	Yes	Sunderland Animal Hospital	sah	http://sunderlandvet.com/
Trophy	$100.00 	Yes	Sunderland Corner Store	scs	http://www.sunderlandcornerstore.com/sunderland-corner-store
Trophy	$100.00 	Yes	Sunderland Volunteer Firemen's Association	svfa	http://www.sunderlandfire.com/index.html
Trophy	$100.00 	Yes	Webber & Grinnell	webber	http://www.webberandgrinnell.com/
Trophy	$100.00 	Yes	Yankee Candle	yankee	https://www.yankeecandle.com/village
Trophy	$100.00 	Yes	Zinn-Keane Family	zinn	#
Gold	$50.00 	Yes	Aegis Physical Therapy	aegis	http://www.aegisphysicaltherapy.com/?page=home
Gold	$50.00 	Yes	Ahearn's Landscaping	ahearns	https://www.facebook.com/pages/Ahearns-Landscaping/167375980121382
Gold	$50.00 	No	Anthony M. Maio, Attorney At Law	maio	#
Gold	$50.00 	Yes	Billy's Beverages	billys	#
Gold	$50.00 	No	Bridgeside Grille	bridgeside	http://www.bridgesidegrille.com/
Gold	$50.00 	No	Bub's B-B-Q	bubs	http://www.bubsbbq.com/
Gold	$50.00 	Yes	Cowls Building Supply	cowls	http://cowlsbuildingsupply.com/
Gold	$50.00 	Yes	Frontier Pizza	frontier	http://www.frontierpizza.com/pizza.htm
Gold	$50.00 	Yes	Greenfield Cooperative Bank	gcb	https://www.greenfieldcoopbank.com/
Gold	$50.00 	No	Grybko's Garage	grybkos	https://www.facebook.com/pages/Grybkos-Garage/138998246470517
Gold	$50.00 	Yes	Jenks Repair Service	jenks	https://www.facebook.com/Jenks-Repair-Service-134609229925373/
Gold	$50.00 	Yes	Justine Rosewarne - 5 College Realtors	rosewarne	http://5collegerealtors.com/detail_agent.asp?agentid=E0000JJR&site=office&searchtype=ByOffice&office_id=AN1019
Gold	$50.00 	Yes	L & L Fence Company	landl	https://www.landlfence.net/
Gold	$50.00 	Yes	Leader Home Center	leader	http://www.leaderhome.com/index.html
